pmt_id,position_x,position_y,position_z,type_int,type_name
90,7847.57,1609.96,-2566.46,1,NORMAL
91,7938.86,1484.47,-2315.17,1,NORMAL
92,8030.07,1358.69,-2064.06,1,NORMAL
93,8121.369999999999,1233.21,-1812.77,1,NORMAL
94,7887.150000000001,1775.0700000000002,-2324.7,1,NORMAL
95,7978.360000000001,1649.29,-2073.59,1,NORMAL
96,8069.66,1523.81,-1822.3,1,NORMAL
97,7926.88,1939.88,-2083.21,1,NORMAL
98,8018.18,1814.3899999999999,-1831.92,1,NORMAL
99,7570.16,1605.0299999999997,-3324.93,1,NORMAL
100,7422.32,1714.1200000000001,-3556.17,1,NORMAL
101,7274.8099999999995,1823.1,-3787.4400000000005,1,NORMAL
102,7126.900000000001,1932.01,-4018.85,1,NORMAL
103,6979.25,2041.16,-4250.2300000000005,1,NORMAL
104,7492.68,1427.54,-3547.75,1,NORMAL
105,7344.91,1536.2799999999997,-3779.04,1,NORMAL
106,7197.26,1645.43,-4010.4300000000003,1,NORMAL
107,7049.55,1754.35,-4241.54,1,NORMAL
108,7415.27,1249.69,-3770.62,1,NORMAL
109,7267.42,1358.7799999999997,-4001.8599999999997,1,NORMAL
110,7119.71,1467.7,-4232.98,1,NORMAL
111,7337.92,1072.03,-3993.3100000000004,1,NORMAL
112,7190.07,1181.1100000000001,-4224.56,1,NORMAL
113,7200.45,2805.2300000000005,-3332.78,1,NORMAL
114,7325.209999999999,2069.62,-3564.34,1,NORMAL
115,7234.009999999999,2350.32,-3564.34,1,NORMAL
116,7142.66,2631.18,-3564.46,1,NORMAL
117,7176.4800000000005,2176.52,-3795.99,1,NORMAL
118,7085.14,2457.38,-3796.1099999999997,1,NORMAL
119,7027.5599999999995,2283.35,-4027.5,1,NORMAL
120,7258.37,2979.33,-3062.3500000000004,1,NORMAL
121,7349.71,2698.47,-3062.23,1,NORMAL
122,7440.92,2417.77,-3062.23,1,NORMAL
123,7532.200000000001,2136.72,-3062.28,1,NORMAL
124,7623.400000000001,1856.0300000000002,-3062.28,1,NORMAL
125,7388.03,2866.21,-2822.21,1,NORMAL
126,7479.38,2585.34,-2822.09,1,NORMAL
127,7570.52,2304.46,-2822.26,1,NORMAL
128,7661.860000000001,2023.6000000000001,-2822.14,1,NORMAL
129,7517.7,2753.08,-2582.0699999999997,1,NORMAL
130,7608.83,2472.2,-2582.24,1,NORMAL
131,7700.18,2191.33,-2582.12,1,NORMAL
132,7647.35,2640.0099999999998,-2342.37,1,NORMAL
133,7738.7,2359.14,-2342.25,1,NORMAL
134,6846.14,2450.88,-4250.21,1,NORMAL
135,6901.4400000000005,2626.06,-4018.7799999999997,1,NORMAL
136,6957.02,2800.96,-3787.5299999999997,1,NORMAL
137,7012.25,2975.96,-3556.27,1,NORMAL
138,7067.75,3151.21,-3324.98,1,NORMAL
139,6734.42,2724.25,-4241.54,1,NORMAL
140,6789.650000000001,2899.25,-4010.27,1,NORMAL
141,6845.2300000000005,3074.15,-3779.03,1,NORMAL
142,6900.67,3249.21,-3547.91,1,NORMAL
143,6622.63,2997.4400000000005,-4233.03,1,NORMAL
144,6678.07,3172.5,-4001.91,1,NORMAL
145,6733.65,3347.4,-3770.67,1,NORMAL
146,6511.05,3270.69,-4224.67,1,NORMAL
147,6566.63,3445.59,-3993.42,1,NORMAL
148,7166.05,4041.46,-1803.52,1,NORMAL
149,7166.15,3886.0899999999997,-2054.7,1,NORMAL
150,7166.15,3730.9300000000003,-2305.7599999999998,1,NORMAL
151,7166.11,3575.6099999999997,-2557.15,1,NORMAL
152,7166.11,3420.4500000000003,-2808.21,1,NORMAL
153,-99999.0,-99999.0,-99999.0,10,SPARE
154,7295.2300000000005,3620.5200000000004,-2064.15,1,NORMAL
155,7295.08,3465.41,-2315.42,1,NORMAL
156,7295.1900000000005,3310.04,-2566.6000000000004,1,NORMAL
157,7424.2,3510.3199999999997,-1822.4199999999998,1,NORMAL
158,7424.0599999999995,3355.2,-2073.69,1,NORMAL
159,7424.160000000001,3199.8399999999997,-2324.87,1,NORMAL
160,7553.21,3245.1400000000003,-1832.0500000000002,1,NORMAL
161,7553.31,3089.78,-2083.23,1,NORMAL
162,6993.869999999999,3504.46,-3121.4100000000003,1,NORMAL
163,6848.099999999999,3760.75,-3104.13,1,NORMAL
164,6702.619999999999,4016.9900000000002,-3087.0699999999997,1,NORMAL
165,6556.7,4273.32,-3070.0,1,NORMAL
166,6411.11,4529.76,-3052.8199999999997,1,NORMAL
167,6828.27,3595.75,-3348.13,1,NORMAL
168,6682.46,3851.88,-3331.17,1,NORMAL
169,6536.87,4108.32,-3313.99,1,NORMAL
170,6391.2,4364.41,-3296.83,1,NORMAL
171,6662.63,3686.88,-3575.17,1,NORMAL
172,6516.860000000001,3943.17,-3557.89,1,NORMAL
173,6371.1900000000005,4199.26,-3540.7299999999996,1,NORMAL
174,6497.129999999999,3777.9700000000003,-3802.0,1,NORMAL
175,6351.36,4034.2599999999998,-3784.72,1,NORMAL
176,7011.459999999999,4174.06,-2059.09,1,NORMAL
177,6863.91,3963.7200000000003,-2796.85,1,NORMAL
178,6863.91,4118.88,-2545.78,1,NORMAL
179,6863.8,4274.25,-2294.6,1,NORMAL
180,6716.570000000001,4219.17,-2781.18,1,NORMAL
181,6716.47,4374.54,-2530.0,1,NORMAL
182,6569.049999999999,4474.47,-2765.4300000000003,1,NORMAL
183,5941.0599999999995,3821.79,-4522.7300000000005,1,NORMAL
184,6078.67,3562.4,-4553.929999999999,1,NORMAL
185,6000.2300000000005,3992.84,-4289.4,1,NORMAL
186,6137.889999999999,3733.65,-4320.9,1,NORMAL
187,6275.51,3474.2599999999998,-4352.099999999999,1,NORMAL
188,6196.82,3904.9400000000005,-4087.6600000000003,1,NORMAL
189,6334.44,3645.55,-4118.860000000001,1,NORMAL
190,6411.130000000001,4756.23,-2686.35,1,NORMAL
191,6556.76,4656.92,-2449.21,1,NORMAL
192,6702.530000000001,4557.62,-2212.48,1,NORMAL
193,6848.02,4458.360000000001,-1975.54,1,NORMAL
194,6993.83,4359.2,-1738.4899999999998,1,NORMAL
195,6391.21,4900.55,-2429.33,1,NORMAL
196,6536.7,4801.29,-2192.39,1,NORMAL
197,6682.469999999999,4701.98,-1955.66,1,NORMAL
198,6828.139999999999,4602.87,-1718.8200000000002,1,NORMAL
199,6371.14,5044.92,-2172.51,1,NORMAL
200,-99999.0,-99999.0,-99999.0,10,SPARE
201,6662.59,4846.5,-1698.94,1,NORMAL
202,-99999.0,-99999.0,-99999.0,10,SPARE
203,6497.03,5090.13,-1679.06,1,NORMAL
204,5585.96,4916.74,-3929.72,1,NORMAL
205,6135.030000000001,4539.32,-3521.6000000000004,1,NORMAL
206,5945.900000000001,4608.2,-3737.6499999999996,1,NORMAL
207,5756.78,4677.08,-3953.71,1,NORMAL
